catalogNumber,replicate number,genus,subgenus,scientificName,determinedBy,dateDetermined,sex,checked,Country,State,collection site,site,decimalLat,decimalLong,associated Plant,collection_date_label,collection date,collection time,ambient air temperature (C),aclimation time (mins),relative humidity (%),TBS (mins),mean TBS,Censor,mass (g),ITD 1 (mm),ITD 2 (mm),ITD avg (mm),dry mass+pin (g),pin ,dry mass (g),length,width,notes,observation
UCSB-IZC00064539,22,Lasioglossum ,,"Lasioglossum pacificum (Cockerell, 1898)",Jamie Pawelek (2024),,female,KS,United States,California,Coal Oil Point,mainland,34.41,-119.877,,2024 Apr 25,04/25/24,2:30,21.1,90,60.7,63,,1,0.027,2.2,2.2,2.2,0.06,,0.06,,,,
UCSB-IZC00064561,NB10,Lasioglossum ,Evylaeus,Lasioglossum (Evylaeus) sp. B,Jamie Pawelek (2024),,female,KS,United States,California,Santa Cruz Island,island,34.014109,-119.696066,,2024 Jun 12,06/12/24,2:22,24,,,NA,,1,NA,1.9,1.65,1.775,0.051,,0.051,,,flying,
UCSB-IZC00064579,NB15,Lasioglossum ,,"Lasioglossum channelense McGinley, 1986",Jamie Pawelek (2024),,female,KS,United States,California,Santa Cruz Island,island,34.01882,-119.699125,,2024 Jun 12,06/12/24,3:20,24,,,NA,,1,NA,2.1,2.05,2.075,0.061,,0.061,,,flying,
UCSB-IZC00064592,NB11,Lasioglossum ,,"Lasioglossum channelense McGinley, 1986",Jamie Pawelek (2024),,female,KS,United States,California,Santa Cruz Island,island,34.01882,-119.699125,,2024 Jun 12,06/12/24,3:02,24,,,NA,,1,NA,2.2,2.2,2.2,0.062,,0.062,,,flying,
UCSB-IZC00064910,NB32,Lasioglossum ,,"Lasioglossum kincaidii (Cockerell, 1898)",Jamie Pawelek (2024),,female,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2024 Jun 22,6/22/24,11:41,19,52,,26,,1,0.007,1.5,1.4,1.45,0.052,,0.052,,,,
UCSB-IZC00064915,NB33,Lasioglossum ,,"Lasioglossum diversopunctatum (Ellis, 1914)",Jamie Pawelek (2024),,female,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2024 Jun 22,6/22/24,11:41,19,52,,61,,1,0.005,1.3,1.2,1.25,0.047,,0.047,,,,
UCSB-IZC00064583,NB3,Lasioglossum (Evylaeus),,Lasioglossum (Evylaeus) sp. E,Jamie Pawelek (2024),,female,KS,United States,California,Santa Cruz Island,island,34.01149,-119.686263,,2024 Jun 12,06/12/24,12:30,25.6,,,NA,,1,NA,1.1,0.9,1,0.047,,0.047,,,flying,
UCSB-IZC00064514,NB42,Melissodes,,"Melissodes lupinus Cresson, 1879",Jamie Pawelek (2025),,female,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2024 Jun 22,6/22/24,12:19,19,14,,116,,1,0.034,2.1,1.9,2,0.062,#DIV/0!,#DIV/0!,,,,
UCSB-IZC00064234,NB53,Nomada,,Nomada,Katja Seltmann (2025),,female,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2024 Jun 23,6/23/24,2:06,25,,,126,,1,0.016,1.6,1.6,1.6,0.055,0.049,0.055,,,,
UCSB-IZC00064544,NB65,Triepeolus,,"Triepeolus utahensis (Cockerell, 1921)",Katja Seltmann (2025),,female,KS,United States,California,Santa Cruz Island,island,33.98911,-119.675484,mustard,2024 Jun 24,6/24/24,,26,,,136,,1,0.036,1.95,1.9,1.925,0.063,,0.063,,,,
UCSB-IZC00064568,F:6,Xylocopa,orpifex,Xylocopa tabaniformis orpifex,Katja Seltmann (2025),,male,KS,United States,California,Cheadle Center shadehouse,mainland,34.42087,-119.85833,,2024 Apr 15,04/15/24,11:30,22.2,15,46.4,180,,1,0.228,4.7,4.85,4.775,0.134,,0.134,,,,
UCSB-IZC00064569,NB10,Xylocopa,orpifex,Xylocopa tabaniformis orpifex,Katja Seltmann (2025),,female,KS,United States,California,Cheadle Center shadehouse,mainland,34.42087,-119.85833,,2024 Apr 15,04/15/24,11:30,22.2,15,46.4,373,,1,0.355,5.35,5.3,5.325,0.188,,0.188,,,Caught while mating in flight,
,NB64,,,,,,,,United States,California,Santa Cruz Island,island,33.98911,-119.675484,Malacothrix saxatilis,2024 Jun 24,6/24/24,,26,,,109,,1,NA,,,NA,,,,,,,
,,,,Apis mellifera,Katja Seltmann (2025),,female,,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Mar 07,03/07/24,12:30,17.2,,,NA,,1,NA,,,NA,,,,,,,kinda stuck on the bottom from the start
,,,,Apis mellifera,Katja Seltmann (2025),,female,,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Mar 08,03/08/24,12:30,17.8,,,NA,,1,NA,,,NA,,,,,,,began dropping down after about 10 minutes
,,,,Apis mellifera,Katja Seltmann (2025),,female,,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Mar 09,03/09/24,12:30,18.3,,,NA,,1,NA,,,NA,,,,,,,"began dropping down after about 10 minutes, stayed in place twitching starting at around 40 minutes"
,,,,Apis mellifera,Katja Seltmann (2025),,female,,United States,California,Coal Oil Point,mainland,34.41,-119.877,,2024 Apr 25,04/25/24,2:30,21.1,90,60.7,63,,1,NA,,,NA,,,,,,,
,,,,Halictus ligatus,Katja Seltmann (2025),,,,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Mar 10,03/10/24,12:30,18.9,,,49.23,,1,NA,,,NA,,,,,,,at 47 minutes she slumped down in the tube and stopped being as active
,,,,Hyaleaus?,Katja Seltmann (2025),,,,United States,California,incubator room???,mainland,N/A,N/A,,2024 Apr 08,04/08/24,1:06,20.2,NA,49.5,94,,1,NA,,,NA,,,,,,,
,NB68,,,lasioglossum,Katja Seltmann (2025),,,,United States,California,Santa Cruz Island,island,33.98911,-119.675484,Malacothrix saxatilis,2024 Jun 24,6/24/24,,26,,,209,,1,NA,,,NA,,,,,,,
,,,,Xylocopa tabaniformis,Katja Seltmann (2025),,female,,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Apr 08,04/08/24,11:35,21.6,62,36.2,240,,0,NA,,,NA,,,,,,released,
,,,,Xylocopa tabaniformis,Katja Seltmann (2025),,female,,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Apr 08,04/08/24,11:45,26.2,62,36.2,240,,0,NA,,,NA,,,,,,released,
,,,,Xylocopa tabaniformis,Katja Seltmann (2025),,female,,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Apr 08,04/08/24,11:55,26.2,62,36.2,240,,0,NA,,,NA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCSB-IZC00068765,NB70,diadasia,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,1:41,,,,283,,1,,,,,,,,,,,
UCSB-IZC00068531,NB71,diadasia,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,1:46,,,,265,,1,,,,,,,,,,,
UCSB-IZC00068816,NB72,bombus,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,1:50,,,,265,,1,,,,,,,,,,,
UCSB-IZC00069597,NB73,colletes,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,1:50,,,,352,,1,,,,,,,,,,,
UCSB-IZC00069567,NB74,halictus,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,1:58,,,,645,,0,,,,,,,,,,,
UCSB-IZC00068794,NB75,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,2:00,,,,440,,1,,,,,,,,,,,
UCSB-IZC00069591,NB76,anthophora,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,2:10,,,,353,,1,,,,,,,,,,,
UCSB-IZC00069585,NB77,diadasia,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,2:10,,,,643,,1,,,,,,,,,,,
UCSB-IZC00068566,NB78,augochlorella,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,2:14,,,,645,,0,,,,,,,,,,,
UCSB-IZC00069571,NB79,lasioglossum,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,2:20,,,,NA,,NA,,,,,,,,,,,
UCSB-IZC00068775,NB80,halictus,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,2:35,,,,645,,0,,,,,,,,,,,
UCSB-IZC00068793,NB81,Augochlorella,,Augochlorella pomoniella,Charlie Thrift (2025),,Female,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,2:35,,,,440,,1,,,,,,,,,,,
UCSB-IZC00069549,NB82,lasioglossum,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,2:35,,,,274,,1,,,,,,,,,,,
UCSB-IZC00068819,NB83,lasioglossum,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,3:20,,,,405,,1,,,,,,,,,,,
UCSB-IZC00068810,NB84,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,315,,1,,,,,,,,,,,
UCSB-IZC00069557,NB85,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,495,,1,,,,,,,,,,,
UCSB-IZC00068811,NB86,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,387,,1,,,,,,,,,,,
UCSB-IZC00068788,NB87,bombus,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,405,,1,,,,,,,,,,,
UCSB-IZC00069545,NB88,diadasia,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,645,,0,,,,,,,,,,,
UCSB-IZC00069593,NB89,anthophora,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,645,,0,,,,,,,,,,,
UCSB-IZC00068807,NB90,anthophora,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,517,,1,,,,,,,,,,,
UCSB-IZC00068554,NB91,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,645,,0,,,,,,,,,,,
UCSB-IZC00069563,NB92,bombus,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,374,,1,,,,,,,,,,,
UCSB-IZC00069573,NB93,bombus,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,495,,0,,,,,,,,,,,
UCSB-IZC00069584,NB94,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,544,,0,,,,,,,,,,,
UCSB-IZC00071398,NB94,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,427,,0,,,,,,,,,,,
UCSB-IZC00071345,NB95,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,147,,0,,,,,,,,,,,
UCSB-IZC00072840,NB95,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Field Station",island,33.99695,-119.72691,,2025 May 29,05/29/25,,,,,475,,0,,,,,,,,,,,
UCSB-IZC00072811,NB96,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,74,,1,,,,,,,,,,,
UCSB-IZC00069571,NB97,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,567,,0,,,,,,,,,,,
UCSB-IZC00071341,NB98,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,567,,0,,,,,,,,,,,
UCSB-IZC00071346,NB99,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,522,,1,,,,,,,,,,,
UCSB-IZC00072816,NB100,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,402,,1,,,,,,,,,,,
UCSB-IZC00069560,NB101,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,375,,1,,,,,,,,,,,
UCSB-IZC00071395,NB102,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,74,,1,,,,,,,,,,,
UCSB-IZC00069570,NB103,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,207,,1,,,,,,,,,,,
UCSB-IZC00069578,NB104,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,157,,1,,,,,,,,,,,
UCSB-IZC00071347,NB105,diadasia,,,,,,,United States,California,Santa Cruz Island,island,34.015007,-119.797456,,2025 May 30,05/30/25,,,,,299,,1,,,,,,,,,,,
UCSB-IZC00069376,NB106,halictus,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:08,,,,NA,,1,,,,,,,,,,,
UCSB-IZC00071344,NB107,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:42,,,,207,,1,,,,,,,,,,,
UCSB-IZC00071377,NB108,diadasia,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:42,,,,207,,1,,,,,,,,,,,
UCSB-IZC00069442,NB109,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:42,,,,299,,1,,,,,,,,,,,
UCSB-IZC00072808,NB110,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:45,,,,NA,,1,,,,,,,,,,,
UCSB-IZC00072803,NB111,diadasia,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:50,,,,487,,1,,,,,,,,,,,
UCSB-IZC00072862,NB112,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:52,,,,147,,1,,,,,,,,,,,
UCSB-IZC00083732,NB113,halictus,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:54,,,,207,,1,,,,,,,,,,,
UCSB-IZC00072804,NB114,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:56,,,,246,,1,,,,,,,,,,,
UCSB-IZC00072809,NB115,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:57,,,,237,,1,,,,,,,,,,,
UCSB-IZC00072795,NB116,agapostemon,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:58,,,,342,,1,,,,,,,,,,,
UCSB-IZC00072867,NB117,halictus,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,1:59,,,,207,,1,,,,,,,,,,,
UCSB-IZC00072889,NB118,nomada,,,,,,,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2025 May 30,05/30/25,2:00,,,,522,,1,,,,,,,,,,,
UCSB-IZC00083721,NB119,bombus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:23,,,,528,,0,,,,,,,,,,,
UCSB-IZC00083731,NB120,lasioglossum,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:23,,,,125,,1,,,,,,,,,,,
UCSB-IZC00083727,NB121,lasioglossum,,,,,male,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:25,,,,170,,1,,,,,,,,,,,
UCSB-IZC00083707,NB122,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:30,,,,125,,1,,,,,,,,,,,
UCSB-IZC00083719,NB123,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:30,,,,221,,1,,,,,,,,,,,
UCSB-IZC00083724,NB124,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:35,,,,779,,0,,,,,,,,,,,
UCSB-IZC00072794,NB125,bombus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:35,,,,125,,1,,,,,,,,,,,
UCSB-IZC00072800,NB126,bombus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:35,,,,204,,1,,,,,,,,,,,
UCSB-IZC00083723,NB127,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:40,,,,204,,1,,,,,,,,,,,
UCSB-IZC00083720,NB128,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:40,,,,125,,1,,,,,,,,,,,
UCSB-IZC00083728,NB129,lasioglossum,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:40,,,,756,,1,,,,,,,,,,,
UCSB-IZC00072807,NB130,agapostemon,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:40,,,,204,,1,,,,,,,,,,,
UCSB-IZC00083726,NB131,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:40,,,,125,,1,,,,,,,,,,,
UCSB-IZC00083716,NB132,halictus (or male lasioglossum?),,,,,Male,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:40,,,,779,,0,,,,,,,,,,,
UCSB-IZC00072806,NB133,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:40,,,,300,,1,,,,,,,,,,,
UCSB-IZC00083730,NB134,lasioglossum,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:40,,,,140,,1,,,,,,,,,,,
UCSB-IZC00072783,NB135,lasioglossum,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,10:45,,,,204,,1,,,,,,,,,,,
UCSB-IZC00083715,NB136,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,11:17,,,,170,,1,,,,,,,,,,,
UCSB-IZC00083722,NB137,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,11:17,,,,728,,1,,,,,,,,,,,
UCSB-IZC00083713,NB138,Colletes,,,,,Male,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,11:17,,,,170,,1,,,,,,,,,,,
UCSB-IZC00083717,NB139,halictus,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,11:17,,,,529,,1,,,,,,,,,,,
UCSB-IZC00083729,NB140,lasioglossum,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,11:17,,,,779,,0,,,,,,,,,,,
UCSB-IZC00083718,NB141,agapostemon,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,11:17,,,,266,,1,,,,,,,,,,,
UCSB-IZC00083725,NB142,agapostemon,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,11:17,,,,125,,1,,,,,,,,,,,
UCSB-IZC00072865,NB143,lasioglossum,,,,,,,United States,California,Santa Cruz Island,island,33.989837,-119.676548,,2025 May 31,05/31/25,11:17,,,,756,,1,,,,,,,,,,,